Segment ID,Project Name,Project Number,Organization Name,Vendor ID,Contract Number,Contract Description,GC Phase Code,GC Phase Code Description,Breakout Code,Breakout Code Description,Invoice Code,Invoice Code Description,Handling Code,Handling Code Description,Account Code,Subcontract Item Number,Category Code,Subjob,Sub Phase Code,Sub Phase Code Description,Scheduled Value Amount,Net Change by Change Order,Contract Sum To Date,Total Billed To Date,Total Percent Complete To Date,Total Retention To Date,Total Balance Due
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,018:CO-018.06-CO-018.06  Equipment Only Standby,,,,,,,0009-1000,018*IPCRP1*S*1303725218,S,IPCRP1,018*IPCRP1*S*1303725218,018:CO-018.06-CO-018.06  Equipment Only Standby,0.00,"7,000.00","7,000.00","7,000.00",100.00,350.00,350.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,019:CO-019.01-CO-019.01  Obstruction Drilling Qty Overrun (ESCR-203.12 PVD),,,,,,,0009-1000,019*IPCRP1*S*1303749481,S,IPCRP1,019*IPCRP1*S*1303749481,019:CO-019.01-CO-019.01  Obstruction Drilling Qty Overrun (ESCR-203.12 PVD),0.00,"368,100.00","368,100.00","368,100.00",100.00,"18,405.00","18,405.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"020:CO-020-01-CO-20.1  Add Quantity for VECP#11, ESCR-2.FD, Jet Grout for Gate & FW Foundations (Day Shift)",,,,,,,0009-1000,020*IPCRP1*S*1304073648,S,IPCRP1,020*IPCRP1*S*1304073648,"020:CO-020-01-CO-20.1  Add Quantity for VECP#11, ESCR-2.FD, Jet Grout for Gate & FW Foundations (Day Shift)",0.00,"814,770.00","814,770.00","814,770.00",100.00,"40,738.50","40,738.50"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"020:CO-020-02-CO-20.2  Reduce Quantity for VECP#11, ESCR-2.FD, Jet Grout for Gate & FW Foundation (Night Shift)",,,,,,,0009-1000,020*IPCRP1*S*1304073649,S,IPCRP1,020*IPCRP1*S*1304073649,"020:CO-020-02-CO-20.2  Reduce Quantity for VECP#11, ESCR-2.FD, Jet Grout for Gate & FW Foundation (Night Shift)",0.00,"-1,200,870.00","-1,200,870.00","-1,200,870.00",100.00,"-60,043.50","-60,043.50"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"021:CO-021.01-CO-021.01 Adjustment to CO-017-01, Houston St Retaining Wall Jet Grout - Pilot",,,,,,,0000-0203,021*IPCRP1*S*1304372379,S,IPCRP1,021*IPCRP1*S*1304372379,"021:CO-021.01-CO-021.01 Adjustment to CO-017-01, Houston St Retaining Wall Jet Grout - Pilot",0.00,"-134,300.00","-134,300.00","-134,300.00",100.00,"-6,715.00","-6,715.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"021:CO-021.02-CO-021.02 Adjustment to CO-017-02, Houston St Retaining Wall Jet Grout - Production",,,,,,,0000-0203,021*IPCRP1*S*1304372380,S,IPCRP1,021*IPCRP1*S*1304372380,"021:CO-021.02-CO-021.02 Adjustment to CO-017-02, Houston St Retaining Wall Jet Grout - Production",0.00,"-3,713,450.00","-3,713,450.00","-3,713,450.00",100.00,"-185,672.50","-185,672.50"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"021:CO-021.03-CO-021.03 Adjustment to CO-017-03, Houston St Retaining Wall Jet Grout - Obstructed",,,,,,,0000-0203,021*IPCRP1*S*1304372381,S,IPCRP1,021*IPCRP1*S*1304372381,"021:CO-021.03-CO-021.03 Adjustment to CO-017-03, Houston St Retaining Wall Jet Grout - Obstructed",0.00,"962,280.00","962,280.00","962,280.00",100.00,"48,114.00","48,114.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,022:CO-022.01-CO-022.01  Additional Quantity of JG Outside of what was paid to IPC for VECP#11 & #15,,,,,,,0009-1000,022*IPCRP1*S*1304397013,S,IPCRP1,022*IPCRP1*S*1304397013,022:CO-022.01-CO-022.01  Additional Quantity of JG Outside of what was paid to IPC for VECP#11 & #15,0.00,"47,734.00","47,734.00","47,734.00",100.00,"2,386.70","2,386.70"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"022:CO-022.02-CO-022.02  Adjustment to CO-018.03, Unobstructed Angled Jet Grouting (ESCR-2.A Jet Grout for Gate & FW Foundation (Day Only)",,,,,,,0009-1000,022*IPCRP1*S*1304397014,S,IPCRP1,022*IPCRP1*S*1304397014,"022:CO-022.02-CO-022.02  Adjustment to CO-018.03, Unobstructed Angled Jet Grouting (ESCR-2.A Jet Grout for Gate & FW Foundation (Day Only)",0.00,"-4,375.00","-4,375.00","-4,375.00",100.00,-218.75,-218.75
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"022:CO-022.03-CO-022.03  Adjustment to CO-018.05. Obstruction Drilling/ Standby Rate, Reach B, VECP#11/15 Area",,,,,,,0009-1000,022*IPCRP1*S*1304397015,S,IPCRP1,022*IPCRP1*S*1304397015,"022:CO-022.03-CO-022.03  Adjustment to CO-018.05. Obstruction Drilling/ Standby Rate, Reach B, VECP#11/15 Area",0.00,"-63,875.00","-63,875.00","-63,875.00",100.00,"-3,193.75","-3,193.75"
